hud_area_code,hud_area_name,zcta,total_units,fmr_afford_units,safmr_afford_units,fmr_afford_pct,safmr_afford_pct,diff_afford_units,diff_afford_pct
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28212,9065,3967.5,4190,0.4376723662437948,0.4622173193601765,222.5,5.608065532451166
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28213,6398,3081.5,2354,0.48163488590184433,0.3679274773366677,-727.5,-23.608632159662502
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28214,2324,994,1766.5,0.42771084337349397,0.7601118760757315,772.5,77.71629778672032
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28215,6428,3229,2994,0.5023335407591786,0.4657747355320473,-235,-7.277794982966864
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28216,5814,2167.5,2090,0.37280701754385964,0.35947712418300654,-77.5,-3.575547866205306
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28217,5974,2269,2436.5,0.379812520924004,0.4078506863073318,167.5,7.382106654914058
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28226,4055,440,1452.5,0.10850801479654747,0.35819975339087545,1012.5,230.11363636363637
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28227,5179,1439,1694,0.27785286734890907,0.32709017184784706,255,17.720639332870046
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28244,0,0,0,,,0,
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28262,7668,1010.5,3143,0.13178142931664058,0.4098852373500261,2132.5,211.03414151410195
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28269,8724,1380,4e3,0.15818431911966988,0.4585052728106373,2620,189.85507246376812
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28270,2958,349,666.5,0.11798512508451657,0.2253211629479378,317.5,90.97421203438395
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28273,5699,944,2019,0.16564309527987367,0.35427267941744167,1075,113.87711864406779
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28277,5989,122,2206.5,0.020370679579228584,0.3684254466521957,2084.5,1708.606557377049
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28278,1488,139,773,0.09341397849462366,0.519489247311828,634,456.1151079136691
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28280,0,0,0,,,0,
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",28282,0,0,0,,,0,
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29702,866,670.5,529,0.7742494226327945,0.6108545034642032,-141.5,-21.10365398956003
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29704,285,260,230,0.9122807017543859,0.8070175438596491,-30,-11.538461538461538
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29706,1620,1445,1295,0.8919753086419753,0.7993827160493827,-150,-10.380622837370241
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29707,670,160,422.5,0.23880597014925373,0.6305970149253731,262.5,164.0625
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29708,1380,142.5,705,0.10326086956521739,0.5108695652173914,562.5,394.7368421052631
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29710,1924,834,834,0.43347193347193347,0.43347193347193347,0,0
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29712,170,87.5,30,0.5147058823529411,0.17647058823529413,-57.5,-65.71428571428571
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29715,1991,746,766,0.3746860873932697,0.3847312908086389,20,2.680965147453083
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29717,71,71,71,1,1,0,0
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29726,95,59,57,0.6210526315789474,0.6,-2,-3.389830508474576
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29730,7764,4201.5,3511.5,0.5411514683153014,0.45227975270479137,-690,-16.422706176365583
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29732,5655,2340,1995,0.41379310344827586,0.35278514588859416,-345,-14.743589743589745
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29733,0,0,0,,,0,
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29742,85,58,56,0.6823529411764706,0.6588235294117647,-2,-3.4482758620689653
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29743,14,4,4,0.2857142857142857,0.2857142857142857,0,0
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",29745,1694,1296.5,1222,0.7653482880755608,0.7213695395513577,-74.5,-5.746239876590821
METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",60002,1623,873,715.5,0.5378927911275416,0.4408502772643253,-157.5,-18.04123711340206
